genres,app_name,title,early_access,id,year
Action,Lost Summoner Kitty,Lost Summoner Kitty,False,761140,2018
Casual,Lost Summoner Kitty,Lost Summoner Kitty,False,761140,2018
Indie,Lost Summoner Kitty,Lost Summoner Kitty,False,761140,2018
Simulation,Lost Summoner Kitty,Lost Summoner Kitty,False,761140,2018
Strategy,Lost Summoner Kitty,Lost Summoner Kitty,False,761140,2018
Free to Play,Ironbound,Ironbound,False,643980,2018
Indie,Ironbound,Ironbound,False,643980,2018
RPG,Ironbound,Ironbound,False,643980,2018
Strategy,Ironbound,Ironbound,False,643980,2018
Casual,Real Pool 3D - Poolians,Real Pool 3D - Poolians,False,670290,2017
Free to Play,Real Pool 3D - Poolians,Real Pool 3D - Poolians,False,670290,2017
Indie,Real Pool 3D - Poolians,Real Pool 3D - Poolians,False,670290,2017
Simulation,Real Pool 3D - Poolians,Real Pool 3D - Poolians,False,670290,2017
Sports,Real Pool 3D - Poolians,Real Pool 3D - Poolians,False,670290,2017
Action,弹炸人2222,弹炸人2222,False,767400,2017
Adventure,弹炸人2222,弹炸人2222,False,767400,2017
Casual,弹炸人2222,弹炸人2222,False,767400,2017
Action,Battle Royale Trainer,Battle Royale Trainer,False,772540,2018
Adventure,Battle Royale Trainer,Battle Royale Trainer,False,772540,2018
Simulation,Battle Royale Trainer,Battle Royale Trainer,False,772540,2018
Free to Play,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,False,774277,2018
Indie,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,False,774277,2018
Simulation,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,False,774277,2018
Sports,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,False,774277,2018
Free to Play,SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,False,774278,2018
Indie,SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,False,774278,2018
Simulation,SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,False,774278,2018
Sports,SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,False,774278,2018
Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,False,770380,2018
Adventure,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,False,770380,2018
Casual,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,False,770380,2018
Indie,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,False,770380,2018
RPG,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,False,770380,2018
Casual,Beach Rules,Beach Rules,False,768880,2018
Indie,Beach Rules,Beach Rules,False,768880,2018
Casual,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,False,765320,2018
Indie,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,False,765320,2018
Simulation,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,False,765320,2018
Adventure,The first thrust of God,The first thrust of God,False,773650,2018
Casual,The first thrust of God,The first thrust of God,False,773650,2018
Indie,The first thrust of God,The first thrust of God,False,773650,2018
Simulation,The first thrust of God,The first thrust of God,False,773650,2018
Strategy,The first thrust of God,The first thrust of God,False,773650,2018
Free to Play,SNOW - Starter Pack,SNOW - Starter Pack,False,774271,2018
Indie,SNOW - Starter Pack,SNOW - Starter Pack,False,774271,2018
Simulation,SNOW - Starter Pack,SNOW - Starter Pack,False,774271,2018
Sports,SNOW - Starter Pack,SNOW - Starter Pack,False,774271,2018
Adventure,The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,False,773690,2018
Casual,The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,False,773690,2018
Indie,The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,False,773690,2018
Simulation,The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,False,773690,2018
Strategy,The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,False,773690,2018
Free to Play,SNOW - Lifetime Pack,SNOW - Lifetime Pack,False,774279,2018
Indie,SNOW - Lifetime Pack,SNOW - Lifetime Pack,False,774279,2018
Simulation,SNOW - Lifetime Pack,SNOW - Lifetime Pack,False,774279,2018
Sports,SNOW - Lifetime Pack,SNOW - Lifetime Pack,False,774279,2018
Action,The Warrior Of Treasures,The Warrior Of Treasures,False,768060,2018
Adventure,The Warrior Of Treasures,The Warrior Of Treasures,False,768060,2018
Indie,The Warrior Of Treasures,The Warrior Of Treasures,False,768060,2018
Racing,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,False,775880,2017
Simulation,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,False,775880,2017
Sports,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,False,775880,2017
Racing,RC Plane 3 - F-53B,RC Plane 3 - F-53B,False,775881,2017
Simulation,RC Plane 3 - F-53B,RC Plane 3 - F-53B,False,775881,2017
Sports,RC Plane 3 - F-53B,RC Plane 3 - F-53B,False,775881,2017
Action,DinoBlaster,DinoBlaster,False,653960,2018
Indie,DinoBlaster,DinoBlaster,False,653960,2018
Action,Carmageddon Max Pack,Carmageddon Max Pack,False,282010,1997
Indie,Carmageddon Max Pack,Carmageddon Max Pack,False,282010,1997
Racing,Carmageddon Max Pack,Carmageddon Max Pack,False,282010,1997
Action,Half-Life,Half-Life,False,70,1998
Action,Fallen Mage,Fallen Mage,False,752360,2016
Indie,Fallen Mage,Fallen Mage,False,752360,2016
RPG,Fallen Mage,Fallen Mage,False,752360,2016
Casual,Vaporwave Simulator,Vaporwave Simulator,False,766850,2018
Indie,Vaporwave Simulator,Vaporwave Simulator,False,766850,2018
Simulation,Vaporwave Simulator,Vaporwave Simulator,False,766850,2018
Adventure,Bitcoin Clicker,Bitcoin Clicker,False,716110,2018
Casual,Bitcoin Clicker,Bitcoin Clicker,False,716110,2018
Indie,Bitcoin Clicker,Bitcoin Clicker,False,716110,2018
RPG,Bitcoin Clicker,Bitcoin Clicker,False,716110,2018
Strategy,Disciples II: Gallean's Return,Disciples II: Gallean's Return,False,1640,2006
Strategy,Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,False,1630,2006
Action,The Ship: Murder Party,The Ship: Murder Party,False,2400,2006
Indie,The Ship: Murder Party,The Ship: Murder Party,False,2400,2006
RPG,The Ship: Murder Party,The Ship: Murder Party,False,2400,2006
Action,Souland,Souland,True,759920,2017
Indie,Souland,Souland,True,759920,2017
Strategy,Souland,Souland,True,759920,2017
Early Access,Souland,Souland,True,759920,2017
